date,temperature_C,humidity_%,precipitation_mm,dengue_cases
2015-01-31,24.848387096774196,77.8683870967742,0.0,9
2015-02-28,26.18607142857143,79.02250000000001,0.56,5
2015-03-31,27.011612903225807,72.77516129032259,0.14,0
2015-04-30,27.855,76.61366666666666,3.96,6
2015-05-31,27.274516129032257,84.55322580645162,481.98,21
2015-06-30,25.993666666666662,90.12533333333334,751.34,38
2015-07-31,25.26870967741936,91.17096774193548,691.98,49
2015-08-31,25.377096774193543,90.98129032258063,851.1700000000001,48
2015-09-30,25.467,90.85033333333334,644.56,37
2015-10-31,26.19032258064516,89.80096774193548,431.55,34
2015-11-30,26.502,83.55466666666666,72.98,11
2015-12-31,24.055806451612906,73.81774193548387,0.03,0
2016-01-31,24.87903225806452,77.48064516129033,4.37,7
2016-02-29,25.855172413793102,78.16103448275862,0.0,0
2016-03-31,28.105806451612903,74.69935483870967,0.31,0
2016-04-30,28.277,74.11933333333333,64.49,0
2016-05-31,26.96225806451613,85.3941935483871,253.27,14
2016-06-30,26.075,90.009,1539.59,57
2016-07-31,25.230967741935483,91.59,1934.04,63
2016-08-31,25.221612903225807,91.62290322580644,914.97,39
2016-09-30,25.395333333333333,91.255,975.46,54
2016-10-31,26.268387096774195,89.83806451612904,182.95,25
2016-11-30,26.454,86.46033333333334,111.1,19
2016-12-31,25.66483870967742,77.94870967741934,0.01,0
2017-01-31,26.054516129032255,79.52064516129032,0.06,4
2017-02-28,26.275714285714287,80.53785714285713,0.03,8
2017-03-31,27.140967741935484,79.91967741935484,0.79,0
2017-04-30,27.956333333333337,79.82433333333333,53.39,6
2017-05-31,27.40806451612903,85.37709677419355,366.39,18
2017-06-30,26.331666666666667,90.30633333333334,917.04,41
2017-07-31,25.34741935483871,90.71322580645162,1305.07,50
2017-08-31,25.358064516129037,90.61935483870968,1376.45,63
2017-09-30,25.811,90.763,466.5,35
2017-10-31,26.258064516129032,89.92548387096774,270.63,23
2017-11-30,26.267,86.898,251.0,27
2017-12-31,25.71225806451613,77.04677419354839,0.0,0
2018-01-31,24.67419354838709,78.39806451612904,0.0,9
2018-02-28,25.525714285714287,79.66428571428571,11.83,0
2018-03-31,26.64290322580645,81.64483870967742,6.840000000000001,2
2018-04-30,27.638,75.85533333333333,2.31,0
2018-05-31,27.69903225806452,75.99645161290321,42.31,2
2018-06-30,26.072,89.52333333333333,654.0600000000001,37
2018-07-31,25.37516129032258,90.0232258064516,777.19,40
2018-08-31,25.015483870967746,90.21645161290324,839.18,42
2018-09-30,25.418,91.29033333333334,980.77,40
2018-10-31,26.134516129032257,89.21516129032258,336.8,25
2018-11-30,26.367,85.365,281.36,19
2018-12-31,25.682580645161288,77.00483870967743,4.949999999999999,9
2019-01-31,25.54225806451613,78.07677419354839,0.04,7
2019-02-28,26.34321428571429,79.52464285714287,0.01,0
2019-03-31,27.024516129032257,78.40548387096774,0.0,4
2019-04-30,28.10233333333333,75.01933333333334,14.92,0
2019-05-31,28.12548387096774,77.83,13.56,0
2019-06-30,27.038666666666664,85.769,379.86,25
2019-07-31,25.568387096774195,90.77451612903226,1261.3,57
2019-08-31,25.190967741935484,91.44096774193548,1197.0700000000002,57
2019-09-30,25.670333333333332,90.73933333333332,423.68,30
2019-10-31,26.03032258064516,90.54483870967742,390.6,31
2019-11-30,26.389666666666667,86.548,203.93,23
2019-12-31,26.437419354838703,76.93193548387096,0.21,7
2020-01-31,25.40064516129032,77.08935483870968,0.03,2
2020-02-29,26.714827586206894,79.53931034482758,0.02,4
2020-03-31,27.98064516129032,78.79129032258065,4.38,0
2020-04-30,28.14633333333333,80.19866666666667,83.98,0
2020-05-31,27.497096774193547,86.56161290322581,288.34,25
2020-06-30,26.53033333333333,87.77033333333334,138.23,28
2020-07-31,25.287419354838708,90.06645161290322,1144.97,48
2020-08-31,25.047096774193548,89.86032258064516,366.07,38
2020-09-30,25.679666666666662,89.19666666666667,117.14,27
2020-10-31,26.364516129032257,88.24064516129032,246.68,22
2020-11-30,26.947666666666667,82.922,5.8,12
2020-12-31,26.903548387096773,81.65322580645162,1.24,16
2021-01-31,26.58225806451613,80.74161290322581,0.46,7
2021-02-28,27.5425,77.7375,2.5,9
2021-03-31,27.908709677419356,74.56806451612904,0.76,0
2021-04-30,28.480666666666664,76.896,17.93,2
2021-05-31,27.317741935483877,85.3216129032258,411.67,22
2021-06-30,26.48166666666667,89.34400000000001,625.84,33
2021-07-31,25.58451612903226,90.34870967741936,1874.78,64
2021-08-31,25.451290322580647,90.55129032258066,1146.4,39
2021-09-30,25.878,89.69966666666667,972.67,42
2021-10-31,26.41354838709677,89.97774193548386,374.63,32
2021-11-30,26.667666666666666,86.57866666666668,40.13,25
2021-12-31,26.55032258064516,78.35516129032258,0.99,1
2022-01-31,25.83129032258065,75.43225806451613,0.0,0
2022-02-28,26.5675,81.50642857142857,1.8,6
2022-03-31,27.46,76.36516129032259,1.5000000000000002,3
2022-04-30,27.78833333333333,74.45233333333334,5.95,0
2022-05-31,27.919032258064515,81.58935483870968,125.89,6
2022-06-30,26.592666666666663,86.14966666666668,161.91,22
2022-07-31,25.45741935483871,88.40225806451612,533.3100000000001,34
2022-08-31,25.15741935483871,90.2116129032258,745.99,46
2022-09-30,25.53833333333333,90.341,494.7,32
2022-10-31,26.301290322580645,88.40903225806451,401.25,27
2022-11-30,26.34466666666667,83.76133333333334,96.27,13
2022-12-31,26.136451612903222,78.27903225806452,12.73,0
2023-01-31,25.432580645161288,79.33935483870968,0.53,9
2023-02-28,26.53642857142857,81.22,0.92,10
2023-03-31,27.07709677419355,79.75741935483872,34.41,6
2023-04-30,28.170666666666666,78.72,28.7,0
2023-05-31,27.43322580645161,85.18516129032257,997.75,26
2023-06-30,26.465,90.45166666666668,387.73,29
2023-07-31,26.06096774193548,90.83548387096776,718.18,38
2023-08-31,25.911612903225805,91.25064516129032,546.65,33
2023-09-30,26.409666666666663,90.94933333333331,625.66,36
2023-10-31,26.67322580645161,89.67193548387097,450.08,33
2023-11-30,27.12933333333333,87.038,220.46,30
2023-12-31,25.71451612903226,77.18387096774192,8.93,5
2024-01-31,26.508709677419358,76.97806451612904,0.0,3
2024-02-29,27.231034482758623,81.18241379310345,0.0,6
2024-03-31,27.864838709677414,78.73225806451613,1.48,0
2024-04-30,28.916666666666668,76.295,23.82,0
2024-05-31,28.470645161290324,85.74580645161289,195.36,16
2024-06-30,27.07933333333333,89.53633333333333,649.9399999999999,46
2024-07-31,25.82741935483871,90.84709677419356,1039.83,46
2024-08-31,25.692580645161293,91.39354838709676,640.81,41
2024-09-30,25.82,91.10766666666667,564.24,37
2024-10-31,26.184193548387096,90.35870967741936,204.47,22
2024-11-30,27.01233333333333,80.10533333333333,27.13,12
2024-12-31,25.44161290322581,74.19580645161291,0.0,3
